System,,,
Type,MANTARAY,,
Unit,WAVENUMBER,,
Rayleigh,532.021nm,,
Grating,1200gr,,
,,,
Measuring Condition,,,
Acquisition Mode,SINGLE,,
Exposure Time,0.2s,,
Laser Filter,532nm,,
ND Filter,20%,,
Lens Magnification,MPLFLN20x,,
X Pixels,1024,Y Pixels,255
,,,
,,,
X Axis Data,Y Axis Data,,
2136.16,399,,
2138.39,392,,
2140.62,393,,
2142.85,392,,
2145.07,385,,
2147.3,390,,
2149.53,399,,
2151.75,391,,
2153.97,393,,
2156.2,391,,
2158.42,398,,
2160.64,387,,
2162.86,400,,
2165.08,386,,
2167.3,397,,
2169.52,389,,
2171.74,392,,
2173.96,390,,
2176.17,402,,
2178.39,390,,
2180.61,394,,
2182.82,393,,
2185.03,395,,
2187.25,396,,
2189.46,398,,
2191.67,395,,
2193.88,397,,
2196.1,395,,
2198.31,398,,
2200.52,394,,
2202.72,394,,
2204.93,395,,
2207.14,388,,
2209.35,393,,
2211.55,389,,
2213.76,397,,
2215.96,392,,
2218.17,387,,
2220.37,404,,
2222.57,396,,
2224.77,390,,
2226.98,400,,
2229.18,400,,
2231.38,399,,
2233.58,397,,
2235.77,399,,
2237.97,403,,
2240.17,403,,
2242.37,396,,
2244.56,400,,
2246.76,401,,
2248.95,401,,
2251.15,401,,
2253.34,396,,
2255.53,398,,
2257.72,395,,
2259.91,405,,
2262.1,396,,
2264.29,403,,
2266.48,396,,
2268.67,400,,
2270.86,406,,
2273.05,397,,
2275.23,403,,
2277.42,402,,
2279.6,405,,
2281.79,399,,
2283.97,401,,
2286.15,404,,
2288.34,398,,
2290.52,405,,
2292.7,404,,
2294.88,408,,
2297.06,408,,
2299.24,406,,
2301.42,396,,
2303.6,407,,
2305.77,402,,
2307.95,402,,
2310.12,403,,
2312.3,407,,
2314.47,398,,
2316.65,406,,
2318.82,405,,
2320.99,407,,
2323.16,398,,
2325.34,407,,
2327.51,400,,
2329.68,405,,
2331.84,402,,
2334.01,401,,
2336.18,411,,
2338.35,417,,
2340.51,419,,
2342.68,414,,
2344.84,415,,
2347.01,412,,
2349.17,407,,
2351.34,408,,
2353.5,414,,
2355.66,411,,
2357.82,414,,
2359.98,409,,
2362.14,406,,
2364.3,406,,
2366.46,410,,
2368.62,416,,
2370.77,411,,
2372.93,409,,
2375.08,406,,
2377.24,410,,
2379.39,405,,
2381.55,407,,
2383.7,412,,
2385.85,432,,
2388,412,,
2390.16,422,,
2392.31,415,,
2394.46,411,,
2396.6,410,,
2398.75,416,,
2400.9,414,,
2403.05,417,,
2405.19,417,,
2407.34,418,,
2409.48,422,,
2411.63,417,,
2413.77,411,,
2415.92,423,,
2418.06,423,,
2420.2,421,,
2422.34,426,,
2424.48,419,,
2426.62,422,,
2428.76,419,,
2430.9,424,,
2433.04,434,,
2435.17,417,,
